Date (Beijing Time),ETH/USDT Close Price
2021-06-17,2396.85000000
2021-06-18,2349.56000000
2021-06-19,2240.52000000
2021-06-20,2168.58000000
2021-06-21,2238.38000000
2021-06-22,1913.51000000
2021-06-23,1931.99000000
2021-06-24,1937.86000000
2021-06-25,1983.07000000
2021-06-26,1836.87000000
2021-06-27,1834.99000000
2021-06-28,1978.59000000
2021-06-29,2138.21000000
2021-06-30,2172.74000000
2021-07-01,2245.54000000
2021-07-02,2135.18000000
2021-07-03,2138.28000000
2021-07-04,2206.73000000
2021-07-05,2309.33000000
2021-07-06,2236.50000000
2021-07-07,2318.32000000
2021-07-08,2269.41000000
2021-07-09,2070.38000000
2021-07-10,2177.76000000
2021-07-11,2119.15000000
2021-07-12,2131.71000000
2021-07-13,2031.61000000
2021-07-14,1903.33000000
2021-07-15,2003.63000000
2021-07-16,1907.09000000
2021-07-17,1899.47000000
2021-07-18,1970.24000000
2021-07-19,1885.01000000
2021-07-20,1816.06000000
2021-07-21,1769.35000000
2021-07-22,1987.90000000
2021-07-23,2028.97000000
2021-07-24,2110.40000000
2021-07-25,2152.43000000
2021-07-26,2259.73000000
2021-07-27,2231.16000000
2021-07-28,2279.43000000
2021-07-29,2276.06000000
2021-07-30,2392.80000000
2021-07-31,2456.47000000
2021-08-01,2570.36000000
2021-08-02,2518.67000000
2021-08-03,2607.59000000
2021-08-04,2517.06000000
2021-08-05,2704.87000000
2021-08-06,2777.57000000
2021-08-07,2917.94000000
2021-08-08,3161.17000000
2021-08-09,2933.78000000
2021-08-10,3122.57000000
2021-08-11,3167.78000000
2021-08-12,3186.25000000
2021-08-13,3062.18000000
2021-08-14,3304.37000000
2021-08-15,3273.64000000
2021-08-16,3311.85000000
2021-08-17,3134.25000000
2021-08-18,3021.00000000
2021-08-19,3044.01000000
2021-08-20,3229.66000000
2021-08-21,3241.44000000
2021-08-22,3244.52000000
2021-08-23,3248.84000000
2021-08-24,3311.44000000
2021-08-25,3195.43000000
2021-08-26,3246.32000000
2021-08-27,3112.98000000
2021-08-28,3267.87000000
2021-08-29,3281.27000000
2021-08-30,3190.53000000
2021-08-31,3214.34000000
2021-09-01,3398.13000000
2021-09-02,3778.72000000
2021-09-03,3730.46000000
2021-09-04,3942.80000000
2021-09-05,3903.87000000
2021-09-06,3930.51000000
2021-09-07,3899.70000000
2021-09-08,3458.60000000
2021-09-09,3515.09000000
2021-09-10,3451.01000000
2021-09-11,3241.87000000
2021-09-12,3256.32000000
2021-09-13,3394.64000000
2021-09-14,3315.45000000
2021-09-15,3402.41000000
2021-09-16,3580.59000000
2021-09-17,3534.19000000
2021-09-18,3408.68000000
2021-09-19,3404.69000000
2021-09-20,3284.26000000
2021-09-21,2882.16000000
2021-09-22,2774.85000000
2021-09-23,3042.86000000
2021-09-24,3127.12000000
2021-09-25,2943.82000000
2021-09-26,2896.59000000
2021-09-27,3137.01000000
2021-09-28,2931.65000000
2021-09-29,2844.82000000
2021-09-30,2932.29000000
2021-10-01,3020.09000000
2021-10-02,3294.11000000
2021-10-03,3364.61000000
2021-10-04,3368.27000000
2021-10-05,3405.94000000
2021-10-06,3523.77000000
2021-10-07,3539.01000000
2021-10-08,3604.01000000
2021-10-09,3582.79000000
2021-10-10,3567.57000000
2021-10-11,3443.59000000
2021-10-12,3503.10000000
2021-10-13,3523.94000000
2021-10-14,3603.43000000
2021-10-15,3766.00000000
2021-10-16,3844.83000000
2021-10-17,3840.41000000
2021-10-18,3876.21000000
2021-10-19,3750.61000000
2021-10-20,3870.49000000
2021-10-21,4187.80000000
2021-10-22,4116.55000000
2021-10-23,4001.33000000
2021-10-24,4140.74000000
2021-10-25,4131.97000000
2021-10-26,4239.53000000
2021-10-27,4157.85000000
2021-10-28,3913.00000000
2021-10-29,4353.01000000
2021-10-30,4374.69000000
2021-10-31,4383.24000000
2021-11-01,4317.03000000
2021-11-02,4311.07000000
2021-11-03,4632.35000000
2021-11-04,4572.45000000
2021-11-05,4473.19000000
2021-11-06,4498.86000000
2021-11-07,4544.98000000
2021-11-08,4688.29000000
2021-11-09,4787.52000000
2021-11-10,4721.11000000
2021-11-11,4626.68000000
2021-11-12,4724.83000000
2021-11-13,4687.99000000
2021-11-14,4675.47000000
2021-11-15,4674.44000000
2021-11-16,4438.70000000
2021-11-17,4183.49000000
2021-11-18,4321.97000000
2021-11-19,4101.78000000
2021-11-20,4298.06000000
2021-11-21,4391.20000000
2021-11-22,4229.50000000
2021-11-23,4132.74000000
2021-11-24,4349.58000000
2021-11-25,4312.07000000
2021-11-26,4498.35000000
2021-11-27,4069.30000000
2021-11-28,4078.14000000
2021-11-29,4343.61000000
2021-11-30,4482.89000000
2021-12-01,4723.92000000
2021-12-02,4578.06000000
2021-12-03,4515.85000000
2021-12-04,4166.11000000
2021-12-05,4111.61000000
2021-12-06,4131.10000000
2021-12-07,4342.27000000
2021-12-08,4328.30000000
2021-12-09,4433.29000000
2021-12-10,4119.36000000
2021-12-11,3940.09000000
2021-12-12,4060.27000000
2021-12-13,4067.36000000
2021-12-14,3815.01000000
2021-12-15,3849.17000000
2021-12-16,4042.79000000
2021-12-17,3977.83000000
2021-12-18,3879.46000000
2021-12-19,3941.91000000
2021-12-20,3947.41000000
2021-12-21,3940.46000000
2021-12-22,3995.00000000
2021-12-23,3940.10000000
2021-12-24,4106.40000000
2021-12-25,4065.43000000
2021-12-26,4081.34000000
2021-12-27,4061.21000000
2021-12-28,4028.83000000
2021-12-29,3818.07000000
